Peak,strength,TCF1,TCF1-0,CTCF,CTCF-1,Elf4,Elf4-2,TSS,CTCF-2,Elf4-1,CTCF-0,Elf4-0,CTCF-3,Elf4-3,TCF1-1,TCF1-2,TCF1-3
MACS_peak_16636,16.62,0,1.0,3,0.0,1,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MACS_peak_16637,11.01,0,1.0,4,0.0,1,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
MACS_peak_16638,51.01,1,0.0,6,0.0,4,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
MACS_peak_16639,7.29,0,1.0,2,0.0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MACS_peak_1664,37.07,0,1.0,8,0.0,3,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
MACS_peak_16640,11.21,0,1.0,4,0.0,1,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
MACS_peak_16641,10.65,1,0.0,2,0.0,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MACS_peak_16642,17.39,0,1.0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
MACS_peak_16643,17.66,3,0.0,3,0.0,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
MACS_peak_16644,8.28,0,1.0,0,0.0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MACS_peak_16645,11.80,0,1.0,0,0.0,2,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MACS_peak_16646,8.86,0,1.0,2,0.0,0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MACS_peak_16647,10.50,0,1.0,3,0.0,0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MACS_peak_16648,8.23,0,1.0,0,0.0,1,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MACS_peak_16649,18.50,1,0.0,0,0.0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
MACS_peak_1665,6.17,1,0.0,4,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
MACS_peak_16650,9.94,0,1.0,1,1.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MACS_peak_16651,16.19,0,1.0,3,0.0,1,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MACS_peak_16652,7.33,0,1.0,3,0.0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MACS_peak_16653,5.86,0,1.0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
MACS_peak_16654,23.06,0,1.0,2,0.0,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MACS_peak_16655,8.28,0,1.0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
MACS_peak_16656,54.71,0,1.0,2,0.0,1,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
